Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Leishmaniasis	10/77	0.733245595922334	1	0.848257871995274	0.263192852747338	ITGA4;NFKBIB;EEF1A1;PTPN6;NFKB1;TAB2;ITGB2;NCF2;NCF4;HLA-DMA	213	KEGG_2021_Human
Epithelial cell signaling in Helicobacter pylori infection	9/70	0.738250988785314	1	0.838539433321239	0.254472751713442	LYN;ATP6V1E1;JAM2;NFKB1;CDC42;MAP3K14;RAC1;ATP6V1F;ATP6V0A2	214	KEGG_2021_Human
Intestinal immune network for IgA production	6/48	0.743188139021071	1	0.812012443168222	0.241010206576112	ITGA4;CD40LG;MAP3K14;CD80;ITGB7;HLA-DMA	215	KEGG_2021_Human
ErbB signaling pathway	11/85	0.743490000399318	1	0.844753310357337	0.250384849540741	PIK3CA;SOS2;CBLB;AREG;NRAS;PAK2;MYC;PRKCA;GRB2;NCK2;STAT5A	216	KEGG_2021_Human
Cytosolic DNA-sensing pathway	8/63	0.744343633009385	1	0.826696736049736	0.244084260249173	NFKBIB;CASP1;NFKB1;POLR1D;POLR2E;POLR2H;POLR2K;POLR2L	217	KEGG_2021_Human
Primary bile acid biosynthesis	2/17	0.746063277996074	1	0.758068473290956	0.222072262266641	AMACR;SLC27A5	218	KEGG_2021_Human
Ribosome biogenesis in eukaryotes	14/108	0.758592946277633	1	0.846239610060106	0.233807497954448	GTPBP4;RPP25L;NHP2;RAN;FBL;UTP15;NOP10;POP7;POP4;AK6;EMG1;CSNK2A3;NOB1;BMS1	219	KEGG_2021_Human
Tuberculosis	24/180	0.759892332864361	1	0.873868968914469	0.23994565079864	IL23A;BAX;CALM3;LAMP2;ARHGEF12;RFXANK;NFKB1;CREB1;PPP3R1;ATP6V0A2;RHOA;VDR;SPHK1;CYCS;RAB7A;CASP9;IRAK2;CTSD;ITGB2;LSP1;CEBPG;HSPD1;ITGAX;HLA-DMA	220	KEGG_2021_Human
Cocaine addiction	6/49	0.761280667665565	1	0.793081687507304	0.216315548173265	CDK5;GPSM1;MAOB;NFKB1;CREB3;CREB1	221	KEGG_2021_Human
Graft-versus-host disease	5/42	0.773368614426787	1	0.768088919461994	0.197398454375559	GZMB;KLRD1;CD80;KLRC1;HLA-DMA	222	KEGG_2021_Human
