Sample	passed	failed	total
HPV15_KSA_Tumor	33538	0	33538
HPV15_QVD_Tumor	33538	0	33538
HPV34_KSA_metLN	33538	0	33538
HPV34_PD1pos_Tumor	33538	0	33538
HPV34_PD1pos_metLN	33538	0	33538
HPV34_QVD_Tumor	33538	0	33538
HPV34_QVD_metLN	33538	0	33538
HPV37_QVD_metLN	33538	0	33538
HPV42_QVD_Tumor	33538	0	33538
HPV51_KSA_Tumor	33538	0	33538
HPV51_PD1pos_Tumor	33538	0	33538
HPV51_PD1pos_metLN	33538	0	33538
HPV51_QVD_Tumor	33538	0	33538
HPV51_QVD_metLN	33538	0	33538
HPV7_KSA_Tumor	33538	0	33538
HPV7_KSA_metLN	33538	0	33538
HPV7_PD1pos_Tumor	33538	0	33538
HPV7_PD1pos_metLN	33538	0	33538
HPV7_QVD_metLN	33538	0	33538
Final_Features	33538	0	33538
