Sample	passed	failed	total
HPV15_KSA_Tumor	1497	0	1497
HPV15_QVD_Tumor	1675	0	1675
HPV34_KSA_metLN	354	0	354
HPV34_PD1pos_Tumor	685	0	685
HPV34_PD1pos_metLN	1662	0	1662
HPV34_QVD_Tumor	9637	0	9637
HPV34_QVD_metLN	7344	0	7344
HPV37_QVD_metLN	2838	0	2838
HPV42_QVD_Tumor	256	0	256
HPV51_KSA_Tumor	486	0	486
HPV51_PD1pos_Tumor	5738	0	5738
HPV51_PD1pos_metLN	3931	0	3931
HPV51_QVD_Tumor	3473	0	3473
HPV51_QVD_metLN	1649	0	1649
HPV7_KSA_Tumor	4802	0	4802
HPV7_KSA_metLN	6279	0	6279
HPV7_PD1pos_Tumor	362	0	362
HPV7_PD1pos_metLN	3659	0	3659
HPV7_QVD_metLN	145	0	145
All_Samples	56472	0	56472
