Cluster	CD3E	Cluster_Size	Clonotype_Pct	km_cluster	is_selected
c1	7.02887836611711	4384	0.848540145985402	1	TRUE
c2	8.68068075662006	3470	0.857060518731989	1	TRUE
c3	11.0401608999144	3125	0.96256	1	TRUE
c4	2.30753898806131	2965	0.176053962900506	2	FALSE
c5	8.30482229828985	2948	0.922998643147897	1	TRUE
c6	5.70843192530184	2894	0.841050449205252	1	TRUE
c7	8.58051897824312	2802	0.928265524625268	1	TRUE
c8	9.33264403756484	2798	0.919585418155826	1	TRUE
c9	9.27620868696139	2738	0.970781592403214	1	TRUE
c10	10.1852286169928	2724	0.980543318649046	1	TRUE
c11	8.01656891503026	2721	0.734656376332231	1	TRUE
c12	7.01532274779806	2615	0.936137667304015	1	TRUE
c13	7.99603237873372	2581	0.942657884540876	1	TRUE
c14	7.85605848641198	2498	0.94435548438751	1	TRUE
c15	7.32907461614364	2440	0.958606557377049	1	TRUE
c16	8.02851260721008	2198	0.886260236578708	1	TRUE
c17	8.49321469073094	2123	0.90814884597268	1	TRUE
c18	6.36038237206365	1847	0.912290200324851	1	TRUE
c19	7.16360330014869	1765	0.897450424929178	1	TRUE
c20	7.60950170737508	1066	0.965290806754221	1	TRUE
c21	9.66951152631246	956	0.98326359832636	1	TRUE
c22	5.61940425179788	897	0.88628762541806	1	TRUE
c23	7.43313033659404	698	0.902578796561605	1	TRUE
c24	8.7656611627217	636	0.89622641509434	1	TRUE
c25	2.46355688150874	404	0.175742574257426	2	FALSE
c26	0.656558155785066	121	0.0413223140495868	2	FALSE
c27	2.78638190600895	58	0.155172413793103	2	FALSE
