Cluster	CD3E	Cluster_Size	Clonotype_Pct	km_cluster	is_TCell
c1	0.580282590618744	4389	0.821827295511506	2	TRUE
c2	0.606471986133297	3714	0.850296176628972	2	TRUE
c3	1.0710942931452	3615	0.949654218533887	2	TRUE
c4	-0.5598101003793	3096	0.869832041343669	2	TRUE
c5	0.32256210776438	3072	0.903645833333333	2	TRUE
c6	0.691106982081752	3040	0.933552631578947	2	TRUE
c7	1.56785222420529	2980	0.93993288590604	2	TRUE
c8	-1.87536366901958	2960	0.185135135135135	1	FALSE
c9	-0.00197124387262953	2943	0.850832483860007	2	TRUE
c10	0.249404920792162	2864	0.923533519553073	2	TRUE
c11	-0.473956867006526	2650	0.78377358490566	2	TRUE
c12	0.20190442214038	2629	0.919360973754279	2	TRUE
c13	0.928934167515731	2468	0.913290113452188	2	TRUE
c14	1.00393542875936	2214	0.950767841011743	2	TRUE
c15	-0.048700962907698	2147	0.943176525384257	2	TRUE
c16	0.236378881124148	1662	0.909145607701564	2	TRUE
c17	-0.0266168566751325	1654	0.848246674727932	2	TRUE
c18	0.468618770909479	1457	0.954701441317776	2	TRUE
c19	0.316744498754681	1351	0.939304219096965	2	TRUE
c20	-0.491690610129814	1093	0.879231473010064	2	TRUE
c21	0.210240554538907	1091	0.945921173235564	2	TRUE
c22	0.799927673085029	1012	0.912055335968379	2	TRUE
c23	0.00901402246748483	903	0.918050941306755	2	TRUE
c24	0.506256016813039	886	0.862302483069977	2	TRUE
c25	-1.75515782634694	399	0.197994987468672	1	FALSE
c26	-2.53671608683433	132	0.0454545454545455	1	FALSE
c27	-2.00074531767711	51	0.0980392156862745	1	FALSE
